epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
60,15673.2,0.98833,0.76253,0.39932,0.32884,0.07835,0.0576,0.03018,0.97544,0.74451,0.41174,0.000650635,0.000650635,0.000650635
61,15930.5,0.9918,0.75941,0.39513,0.27323,0.0857,0.06405,0.03271,0.97746,0.74483,0.42103,0.000623652,0.000623652,0.000623652
62,16191.8,0.98091,0.76455,0.39363,0.33286,0.09848,0.07202,0.04035,0.96949,0.75792,0.4009,0.000596943,0.000596943,0.000596943
63,16461.9,0.97453,0.76606,0.38792,0.29544,0.10285,0.06392,0.03741,0.96401,0.75966,0.40205,0.000570535,0.000570535,0.000570535
64,16728.4,0.95989,0.77351,0.38195,0.3037,0.10193,0.06801,0.03691,0.96018,0.75585,0.39711,0.000544453,0.000544453,0.000544453
65,16988.3,0.96783,0.76913,0.3822,0.37411,0.1015,0.07052,0.0372,0.97005,0.75035,0.40301,0.000518723,0.000518723,0.000518723
66,17247.1,0.96238,0.76801,0.37633,0.27698,0.09685,0.06734,0.03684,0.9594,0.76208,0.3928,0.000493371,0.000493371,0.000493371
67,17514.8,0.96116,0.76791,0.38264,0.32,0.09955,0.058,0.03224,0.95519,0.75693,0.40529,0.000468422,0.000468422,0.000468422
68,17785.5,0.95449,0.77487,0.37852,0.42736,0.0977,0.06576,0.03585,0.95544,0.75692,0.39679,0.0004439,0.0004439,0.0004439
69,18055.8,0.95376,0.77028,0.37212,0.29839,0.10895,0.0685,0.03732,0.95469,0.75747,0.39419,0.000419829,0.000419829,0.000419829
70,18322.7,0.95108,0.77017,0.37285,0.27943,0.09718,0.06893,0.03697,0.94518,0.75462,0.3963,0.000396234,0.000396234,0.000396234
71,18582.3,0.95242,0.7686,0.37017,0.27267,0.1034,0.07238,0.03863,0.94476,0.75129,0.39558,0.000373137,0.000373137,0.000373137
72,18841.9,0.94554,0.77231,0.37152,0.33896,0.10388,0.06635,0.03811,0.937,0.76284,0.38097,0.000350561,0.000350561,0.000350561
73,19107,0.93555,0.77603,0.36883,0.38311,0.10622,0.08516,0.04201,0.93831,0.75821,0.38787,0.000328529,0.000328529,0.000328529
74,19366.5,0.94554,0.77038,0.37039,0.29744,0.10537,0.07661,0.04148,0.94393,0.75596,0.39129,0.000307062,0.000307062,0.000307062
75,19630.7,0.94343,0.77022,0.37045,0.33836,0.11917,0.08152,0.04599,0.93393,0.76263,0.38086,0.000286182,0.000286182,0.000286182
76,19889.7,0.93545,0.77636,0.36904,0.31856,0.10813,0.07321,0.03993,0.94254,0.76019,0.38886,0.000265908,0.000265908,0.000265908
77,20149.5,0.93286,0.7743,0.36664,0.31131,0.12484,0.08223,0.04605,0.93659,0.75963,0.38958,0.000246262,0.000246262,0.000246262
78,20409.3,0.93848,0.7707,0.36947,0.2819,0.13537,0.08603,0.04734,0.9271,0.76317,0.38315,0.000227263,0.000227263,0.000227263
79,20670,0.92892,0.77364,0.36585,0.32654,0.12392,0.08122,0.04477,0.92307,0.76437,0.38154,0.000208928,0.000208928,0.000208928
80,20929.3,0.92565,0.77477,0.3627,0.35878,0.11276,0.07393,0.04074,0.93309,0.76163,0.38119,0.000191277,0.000191277,0.000191277
81,21187.2,0.92725,0.77242,0.36156,0.3722,0.10928,0.09088,0.04847,0.92659,0.7602,0.3837,0.000174327,0.000174327,0.000174327
82,21447.6,0.92991,0.76934,0.35902,0.39862,0.11573,0.08268,0.04508,0.92552,0.75833,0.38237,0.000158094,0.000158094,0.000158094
83,21708.9,0.92856,0.76986,0.35585,0.42882,0.09883,0.07722,0.0449,0.92952,0.76338,0.38227,0.000142595,0.000142595,0.000142595
