epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
56,4087.97,0.50417,0.98039,0.25564,0.31326,0.33958,0.2192,0.14023,0.47645,0.98322,0.26007,0.00124501,0.00124501,0.00124501
57,4160.5,0.51758,0.97015,0.26228,0.25844,0.34381,0.22465,0.14357,0.47118,0.9765,0.26073,0.00121646,0.00121646,0.00121646
58,4233.15,0.49735,0.96411,0.25259,0.34156,0.33697,0.24407,0.15804,0.46111,0.95707,0.25098,0.00118783,0.00118783,0.00118783
59,4306.03,0.49216,0.96565,0.25179,0.20142,0.34054,0.18567,0.12202,0.46252,1.01658,0.25914,0.00115913,0.00115913,0.00115913
60,4378.39,0.49581,0.98726,0.24679,0.40296,0.35509,0.22236,0.14406,0.46153,1.00413,0.24905,0.0011304,0.0011304,0.0011304
61,4451.35,0.4879,0.97936,0.24636,0.24012,0.3806,0.22957,0.15329,0.4568,0.98105,0.2475,0.00110165,0.00110165,0.00110165
62,4526.54,0.49277,0.95813,0.24857,0.43324,0.33281,0.24517,0.16048,0.47748,0.95817,0.26154,0.0010729,0.0010729,0.0010729
63,4600.08,0.49592,0.95507,0.25116,0.42148,0.37792,0.25717,0.17085,0.46669,0.94749,0.25377,0.00104417,0.00104417,0.00104417
64,4672.74,0.49085,0.93666,0.25161,0.4187,0.37555,0.25822,0.16644,0.4656,0.94531,0.2591,0.00101547,0.00101547,0.00101547
65,4745.1,0.49862,0.92811,0.25222,0.36619,0.35618,0.26796,0.16987,0.46691,0.93997,0.25957,0.000986841,0.000986841,0.000986841
66,4817.85,0.48792,0.93352,0.24588,0.41579,0.353,0.25584,0.16489,0.45043,0.97089,0.24682,0.000958287,0.000958287,0.000958287
67,4890.08,0.48128,0.94777,0.2413,0.38687,0.36502,0.26259,0.17397,0.45875,0.95197,0.25396,0.00092983,0.00092983,0.00092983
68,4962.81,0.48601,0.92724,0.24124,0.40094,0.39052,0.26207,0.17389,0.44528,0.96274,0.24094,0.000901492,0.000901492,0.000901492
69,5035.59,0.48042,0.94112,0.24194,0.35758,0.37564,0.27841,0.18553,0.4469,0.93853,0.24439,0.00087329,0.00087329,0.00087329
70,5109.55,0.4779,0.93146,0.24332,0.38742,0.38228,0.27389,0.18095,0.45301,0.95022,0.24689,0.000845245,0.000845245,0.000845245
71,5184.22,0.47872,0.92692,0.23731,0.28273,0.43644,0.27013,0.17795,0.44767,0.95184,0.24498,0.000817376,0.000817376,0.000817376
72,5259.49,0.47417,0.9304,0.23571,0.29065,0.36116,0.25145,0.16655,0.44838,0.96047,0.24349,0.000789702,0.000789702,0.000789702
73,5331.97,0.46701,0.93446,0.2316,0.33272,0.3654,0.27005,0.18068,0.44582,0.94956,0.24096,0.000762241,0.000762241,0.000762241
74,5404.36,0.46388,0.94168,0.23574,0.26,0.42237,0.25483,0.16925,0.45238,0.96309,0.24646,0.000735013,0.000735013,0.000735013
75,5477.16,0.47082,0.93036,0.23355,0.29079,0.3639,0.26884,0.17669,0.44085,0.95743,0.23946,0.000708037,0.000708037,0.000708037
76,5549.43,0.46084,0.93492,0.2275,0.38542,0.38205,0.2719,0.18371,0.44185,0.93197,0.24096,0.00068133,0.00068133,0.00068133
77,5621.86,0.46392,0.92005,0.22993,0.28882,0.40018,0.2913,0.19409,0.44453,0.93608,0.24363,0.000654911,0.000654911,0.000654911
78,5694.41,0.46132,0.89996,0.22865,0.28199,0.38038,0.26218,0.17583,0.45268,0.93138,0.24857,0.000628798,0.000628798,0.000628798
79,5766.29,0.46146,0.91175,0.22775,0.27817,0.42206,0.2767,0.18591,0.44459,0.9262,0.23793,0.00060301,0.00060301,0.00060301
80,5838.65,0.45806,0.9154,0.22316,0.27998,0.3331,0.25528,0.17159,0.44051,0.96558,0.23713,0.000577563,0.000577563,0.000577563
81,5911.12,0.45128,0.91789,0.22289,0.39629,0.36431,0.29004,0.19336,0.44027,0.93806,0.23726,0.000552475,0.000552475,0.000552475
82,5983.71,0.45992,0.89808,0.22293,0.28791,0.43449,0.2725,0.18241,0.44026,0.93763,0.23821,0.000527764,0.000527764,0.000527764
83,6055.88,0.45312,0.90622,0.22361,0.29557,0.43123,0.3002,0.20164,0.4375,0.92602,0.2348,0.000503446,0.000503446,0.000503446
